,Location,Building Model,Overlay District,Improvements,Land,Total
2405,197 CONCORD AVE,Residential,,11.946308724832216,10.032362459546926,11.078503301540719
10655,28 SUMMIT RD,Residential,,13.03501945525292,9.90990990990991,10.971579643093191
9819,3 ROYAL CIR,Residential,,16.0,9.941520467836257,13.20754716981132
3702,237 EAST EMERSON RD,Residential,,5.093167701863354,10.026385224274406,7.485604606525912
5913,6 KEELER FARM WAY,Residential,,14.985994397759104,9.98719590268886,12.37458193979933
10885,12 TODD RD,Residential,,13.9937106918239,10.023041474654377,11.702127659574469
1683,195 BURLINGTON ST,Residential,,16.169154228855724,10.029498525073747,13.360323886639677
3180,237 EAST EMERSON RD,Residential,,5.093167701863354,10.026385224274406,7.485604606525912
11295,15 VINE BROOK RD,Residential,,131.2925170068027,10.011001100110011,39.65087281795511
1559,18 BROOKSIDE AVE,Residential,,16.153846153846153,9.929078014184398,13.198653198653199
1387,34 BOW ST,Residential,,14.754098360655737,10.047095761381476,12.743125419181759
8197,10 MILL BROOK RD,Residential,,,9.928057553956835,142.01438848920864
11975,50 WILLIAMS RD,Residential,,11.989459815546773,10.052910052910052,11.023102310231023
5170,22 HATHAWAY RD,Residential,,14.161490683229813,9.94236311239193,12.208138759172781
10983,4 TURNBURRY HILL RD,Res Condo,,7.889672867222579,,7.889672867222579
6796,175 LOWELL ST,Residential,,14.988290398126464,10.062893081761008,12.885906040268457
10404,1 SOUTH RINDGE AVE,Residential,,16.10660486674392,10.032362459546926,13.571910871033085
250,5 APOLLO CIR,Residential,,2.445302445302445,10.049627791563276,6.3171193935565375
11917,10 WHITE PINE LN,Residential,,86.41509433962264,9.968354430379748,44.836488812392425
2411,127 CONCORD AVE,Residential,,16.055045871559635,9.966216216216216,13.59289617486339
1143,14 BICENTENNIAL DR,Residential,,6.571741511500548,10.077519379844961,8.023106546854942
10129,54 SHERBURNE RD S,Residential,,13.371266002844951,10.049627791563276,11.597084161696488
3399,10 ELLIS ST,Residential,,13.273001508295627,10.053859964093357,11.80327868852459
10169,54 SHERBURNE RD S,Residential,,13.371266002844951,10.049627791563276,11.597084161696488
1012,16 BELFRY TER,Residential,,11.092985318107667,9.978070175438598,10.426229508196721
10074,45 SHADE ST,Residential,,6.45879732739421,9.969788519637463,7.948717948717948
12129,42 WINTHROP RD,Residential,,40.12605042016807,9.935205183585314,20.185449358059916
4462,30 GARFIELD ST,Residential,,13.422818791946309,10.0,12.034574468085106
4858,194 GROVE ST,Residential,,6.5015479876160995,10.1010101010101,7.869481765834934
5662,15 IDYLWILDE RD,Residential,,14.862914862914863,10.012360939431398,12.250332889480692
9933,44 SANDERSON RD,Residential,,32.63888888888889,10.023866348448687,19.236209335219236
5294,7 HERITAGE DR,Residential,,6.4610866372980915,9.942857142857143,8.419023136246787
11193,25 VALLEYFIELD ST,Residential,,18.169209431345354,10.013175230566535,13.986486486486486
6159,15 LAWRENCE LN,Residential,,13.2890365448505,9.933774834437086,11.944260119442601
